"REF_DATE","GEO","DGUID","Time arriving at work (16)","Main mode of commuting (21)","Commuting duration (7)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Abbotsford - Mission (CMA) 932, B.C.","2021S0503932","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1.1.1.7","19.1","","","","1"
"2021","Abbotsford - Mission (CMA) 932, B.C.","2021S0503932","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1.1.2.7","19.2","","","","1"
"2021","Abbotsford - Mission (CMA) 932, B.C.","2021S0503932","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1.1.11.7","19.6","","","","1"
"2021","Abbotsford - Mission (CMA) 932, B.C.","2021S0503932","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1.1.12.7","33.0","","","","1"
"2021","Barrie (CMA) 568, Ont.","2021S0503568","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","45.1.1.7","20.3","","","","1"
"2021","Barrie (CMA) 568, Ont.","2021S0503568","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","45.1.2.7","20.3","","","","1"
"2021","Barrie (CMA) 568, Ont.","2021S0503568","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","45.1.11.7","23.0","","","","1"
"2021","Barrie (CMA) 568, Ont.","2021S0503568","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","45.1.12.7","37.3","","","","1"
"2021","Belleville - Quinte West (CMA) 522, Ont.","2021S0503522","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","93.1.1.7","18.9","","","","1"
"2021","Belleville - Quinte West (CMA) 522, Ont.","2021S0503522","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","93.1.2.7","19.2","","","","1"
"2021","Belleville - Quinte West (CMA) 522, Ont.","2021S0503522","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","93.1.11.7","16.8","","","","1"
"2021","Belleville - Quinte West (CMA) 522, Ont.","2021S0503522","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","93.1.12.7","24.7","","","","1"
"2021","Brantford (CMA) 543, Ont.","2021S0503543","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","129.1.1.7","19.9","","","","1"
"2021","Brantford (CMA) 543, Ont.","2021S0503543","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","129.1.2.7","20.1","","","","1"
"2021","Brantford (CMA) 543, Ont.","2021S0503543","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","129.1.11.7","20.8","","","","1"
"2021","Brantford (CMA) 543, Ont.","2021S0503543","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","129.1.12.7","35.3","","","","1"
"2021","Calgary (CMA) 825, Alta.","2021S0503825","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","162.1.1.7","22.8","","","","1"
"2021","Calgary (CMA) 825, Alta.","2021S0503825","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","162.1.2.7","21.4","","","","1"
"2021","Calgary (CMA) 825, Alta.","2021S0503825","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","162.1.11.7","31.9","","","","1"
"2021","Calgary (CMA) 825, Alta.","2021S0503825","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","162.1.12.7","43.0","","","","1"
"2021","Chilliwack (CMA) 930, B.C.","2021S0503930","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","491.1.1.7","17.8","","","","1"
"2021","Chilliwack (CMA) 930, B.C.","2021S0503930","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","491.1.2.7","18.2","","","","1"
"2021","Chilliwack (CMA) 930, B.C.","2021S0503930","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","491.1.11.7","15.0","","","","1"
"2021","Chilliwack (CMA) 930, B.C.","2021S0503930","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","491.1.12.7","28.7","","","","1"
"2021","Drummondville (CMA) 447, Que.","2021S0503447","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","540.1.1.7","16.5","","","","1"
"2021","Drummondville (CMA) 447, Que.","2021S0503447","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","540.1.2.7","16.8","","","","1"
"2021","Drummondville (CMA) 447, Que.","2021S0503447","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","540.1.11.7","13.5","","","","1"
"2021","Drummondville (CMA) 447, Que.","2021S0503447","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","540.1.12.7","26.2","","","","1"
"2021","Edmonton (CMA) 835, Alta.","2021S0503835","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","567.1.1.7","22.2","","","","1"
"2021","Edmonton (CMA) 835, Alta.","2021S0503835","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","567.1.2.7","21.4","","","","1"
"2021","Edmonton (CMA) 835, Alta.","2021S0503835","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","567.1.11.7","29.8","","","","1"
"2021","Edmonton (CMA) 835, Alta.","2021S0503835","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","567.1.12.7","40.6","","","","1"
"2021","Fredericton (CMA) 320, N.B.","2021S0503320","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","917.1.1.7","17.3","","","","1"
"2021","Fredericton (CMA) 320, N.B.","2021S0503320","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","917.1.2.7","17.3","","","","1"
"2021","Fredericton (CMA) 320, N.B.","2021S0503320","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","917.1.11.7","18.1","","","","1"
"2021","Fredericton (CMA) 320, N.B.","2021S0503320","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","917.1.12.7","28.9","","","","1"
"2021","Granby(CA) 450, Que.","2021S0504450","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","949.1.1.7","16.7","","","","1"
"2021","Granby(CA) 450, Que.","2021S0504450","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","949.1.2.7","16.9","","","","1"
"2021","Granby(CA) 450, Que.","2021S0504450","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","949.1.11.7","14.3","","","","1"
"2021","Granby(CA) 450, Que.","2021S0504450","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","949.1.12.7","25.8","","","","1"
"2021","Grande Prairie(CA) 850, Alta.","2021S0504850","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","972.1.1.7","15.4","","","","1"
"2021","Grande Prairie(CA) 850, Alta.","2021S0504850","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","972.1.2.7","15.0","","","","1"
"2021","Grande Prairie(CA) 850, Alta.","2021S0504850","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","972.1.11.7","22.6","","","","1"
"2021","Grande Prairie(CA) 850, Alta.","2021S0504850","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","972.1.12.7","33.6","","","","1"
"2021","Greater Sudbury (CMA) 580, Ont.","2021S0503580","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","987.1.1.7","19.7","","","","1"
"2021","Greater Sudbury (CMA) 580, Ont.","2021S0503580","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","987.1.2.7","19.6","","","","1"
"2021","Greater Sudbury (CMA) 580, Ont.","2021S0503580","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","987.1.11.7","23.1","","","","1"
"2021","Greater Sudbury (CMA) 580, Ont.","2021S0503580","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","987.1.12.7","32.7","","","","1"
"2021","Guelph (CMA) 550, Ont.","2021S0503550","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1034.1.1.7","21.5","","","","1"
"2021","Guelph (CMA) 550, Ont.","2021S0503550","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1034.1.2.7","21.6","","","","1"
"2021","Guelph (CMA) 550, Ont.","2021S0503550","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1034.1.11.7","22.8","","","","1"
"2021","Guelph (CMA) 550, Ont.","2021S0503550","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1034.1.12.7","34.6","","","","1"
"2021","Halifax (CMA) 205, N.S.","2021S0503205","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1065.1.1.7","21.4","","","","1"
"2021","Halifax (CMA) 205, N.S.","2021S0503205","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1065.1.2.7","21.0","","","","1"
"2021","Halifax (CMA) 205, N.S.","2021S0503205","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1065.1.11.7","25.2","","","","1"
"2021","Halifax (CMA) 205, N.S.","2021S0503205","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1065.1.12.7","35.7","","","","1"
"2021","Hamilton (CMA) 537, Ont.","2021S0503537","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1174.1.1.7","22.4","","","","1"
"2021","Hamilton (CMA) 537, Ont.","2021S0503537","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1174.1.2.7","22.1","","","","1"
"2021","Hamilton (CMA) 537, Ont.","2021S0503537","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1174.1.11.7","26.3","","","","1"
"2021","Hamilton (CMA) 537, Ont.","2021S0503537","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1174.1.12.7","37.9","","","","1"
"2021","Kamloops (CMA) 925, B.C.","2021S0503925","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1380.1.1.7","18.1","","","","1"
"2021","Kamloops (CMA) 925, B.C.","2021S0503925","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1380.1.2.7","18.2","","","","1"
"2021","Kamloops (CMA) 925, B.C.","2021S0503925","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1380.1.11.7","19.1","","","","1"
"2021","Kamloops (CMA) 925, B.C.","2021S0503925","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1380.1.12.7","28.7","","","","1"
"2021","Kelowna (CMA) 915, B.C.","2021S0503915","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1412.1.1.7","17.1","","","","1"
"2021","Kelowna (CMA) 915, B.C.","2021S0503915","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1412.1.2.7","17.1","","","","1"
"2021","Kelowna (CMA) 915, B.C.","2021S0503915","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1412.1.11.7","18.2","","","","1"
"2021","Kelowna (CMA) 915, B.C.","2021S0503915","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1412.1.12.7","30.1","","","","1"
"2021","Kingston (CMA) 521, Ont.","2021S0503521","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1465.1.1.7","20.0","","","","1"
"2021","Kingston (CMA) 521, Ont.","2021S0503521","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1465.1.2.7","20.3","","","","1"
"2021","Kingston (CMA) 521, Ont.","2021S0503521","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1465.1.11.7","19.3","","","","1"
"2021","Kingston (CMA) 521, Ont.","2021S0503521","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1465.1.12.7","28.5","","","","1"
"2021","Kitchener - Cambridge - Waterloo (CMA) 541, Ont.","2021S0503541","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1506.1.1.7","20.3","","","","1"
"2021","Kitchener - Cambridge - Waterloo (CMA) 541, Ont.","2021S0503541","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1506.1.2.7","20.0","","","","1"
"2021","Kitchener - Cambridge - Waterloo (CMA) 541, Ont.","2021S0503541","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1506.1.11.7","25.8","","","","1"
"2021","Kitchener - Cambridge - Waterloo (CMA) 541, Ont.","2021S0503541","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1506.1.12.7","37.7","","","","1"
"2021","Lethbridge (CMA) 810, Alta.","2021S0503810","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1626.1.1.7","14.9","","","","1"
"2021","Lethbridge (CMA) 810, Alta.","2021S0503810","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1626.1.2.7","14.6","","","","1"
"2021","Lethbridge (CMA) 810, Alta.","2021S0503810","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1626.1.11.7","20.0","","","","1"
"2021","Lethbridge (CMA) 810, Alta.","2021S0503810","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1626.1.12.7","37.8","","","","1"
"2021","London (CMA) 555, Ont.","2021S0503555","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1661.1.1.7","19.4","","","","1"
"2021","London (CMA) 555, Ont.","2021S0503555","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1661.1.2.7","19.0","","","","1"
"2021","London (CMA) 555, Ont.","2021S0503555","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1661.1.11.7","23.6","","","","1"
"2021","London (CMA) 555, Ont.","2021S0503555","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1661.1.12.7","33.8","","","","1"
"2021","Medicine Hat(CA) 805, Alta.","2021S0504805","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1771.1.1.7","14.5","","","","1"
"2021","Medicine Hat(CA) 805, Alta.","2021S0504805","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1771.1.2.7","14.4","","","","1"
"2021","Medicine Hat(CA) 805, Alta.","2021S0504805","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1771.1.11.7","17.3","","","","1"
"2021","Medicine Hat(CA) 805, Alta.","2021S0504805","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1771.1.12.7","31.3","","","","1"
"2021","Moncton (CMA) 305, N.B.","2021S0503305","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1792.1.1.7","16.8","","","","1"
"2021","Moncton (CMA) 305, N.B.","2021S0503305","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1792.1.2.7","16.8","","","","1"
"2021","Moncton (CMA) 305, N.B.","2021S0503305","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1792.1.11.7","19.1","","","","1"
"2021","Moncton (CMA) 305, N.B.","2021S0503305","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1792.1.12.7","32.2","","","","1"
"2021","Montréal (CMA) 462, Que.","2021S0503462","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1829.1.1.7","26.5","","","","1"
"2021","Montréal (CMA) 462, Que.","2021S0503462","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1829.1.2.7","24.4","","","","1"
"2021","Montréal (CMA) 462, Que.","2021S0503462","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1829.1.11.7","33.8","","","","1"
"2021","Montréal (CMA) 462, Que.","2021S0503462","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1829.1.12.7","43.1","","","","1"
"2021","Nanaimo (CMA) 938, B.C.","2021S0503938","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","2834.1.1.7","16.4","","","","1"
"2021","Nanaimo (CMA) 938, B.C.","2021S0503938","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","2834.1.2.7","16.1","","","","1"
"2021","Nanaimo (CMA) 938, B.C.","2021S0503938","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","2834.1.11.7","19.6","","","","1"
